,Unnamed: 0,Country,Daily new confirmed cases of COVID-19,daily_vaccinations
2508144,2508144,Canada,19997,721
2513604,2513604,Canada,21674,721
2519064,2519064,Canada,21796,721
2524524,2524524,Canada,21425,721
2529984,2529984,Canada,18807,721
2535444,2535444,Canada,16141,721
2540904,2540904,Canada,15084,721
2546364,2546364,Canada,15303,721
2551824,2551824,Canada,17448,721
2557284,2557284,Canada,16983,721
2562744,2562744,Canada,17413,721
2568204,2568204,Canada,17192,721
2573664,2573664,Canada,15889,721
2579124,2579124,Canada,16861,721
2584584,2584584,Canada,13952,721
2590044,2590044,Canada,11375,721
2595504,2595504,Canada,10353,721
2606424,2606424,Canada,10383,721
2611884,2611884,Canada,9396,721
2628366,2628366,China,77,187500
2629152,2629152,China,93,187500
2630724,2630724,China,132,187500
2633082,2633082,China,688,187500
2633868,2633868,China,776,187500
2634654,2634654,China,1772,187500
2636226,2636226,China,1739,187500
2637012,2637012,China,1984,187500
2637798,2637798,China,2101,187500
2638584,2638584,China,2590,187500
2639370,2639370,China,2827,187500
2640156,2640156,China,3233,187500
2640942,2640942,China,3892,187500
2641728,2641728,China,3697,187500
2643300,2643300,China,3387,187500
2644086,2644086,China,2653,187500
2644872,2644872,China,2984,187500
2646444,2646444,China,2022,187500
2647230,2647230,China,15152,187500
2648016,2648016,China,4050,187500
2648802,2648802,China,2644,187500
2649588,2649588,China,2008,187500
2650374,2650374,China,2051,187500
2651160,2651160,China,1893,187500
2651946,2651946,China,1750,187500
2653518,2653518,China,893,187500
2655090,2655090,China,649,187500
2659020,2659020,China,329,187500
2659806,2659806,China,430,187500
2660592,2660592,China,579,187500
2662950,2662950,China,120,187500
2663736,2663736,China,143,187500
2665308,2665308,China,103,187500
2673168,2673168,China,40,187500
2675526,2675526,China,63,187500
2677098,2677098,China,82,187500
2678670,2678670,China,146,187500
2679456,2679456,China,101,187500
2680242,2680242,China,113,187500
2681814,2681814,China,135,187500
2683386,2683386,China,106,187500
2684172,2684172,China,98,187500
2688102,2688102,China,55,187500
2691246,2691246,China,92,187500
2692818,2692818,China,64,187500
2694390,2694390,China,115,187500
2699892,2699892,China,36,187500
