,Unnamed: 0.1,Unnamed: 0,Country,Daily new confirmed cases of COVID-19,daily_vaccinations
7650,10674645,10674645,United States,174382.0,4819
7662,10684329,10684329,United States,176801.0,4819
7664,10685943,10685943,United States,183417.0,4819
7665,10686750,10686750,United States,182112.0,4819
7666,10687557,10687557,United States,141762.0,4819
7667,10688364,10688364,United States,123082.0,4819
7668,10689171,10689171,United States,116004.0,4819
7669,10689978,10689978,United States,114676.0,4819
7670,10690785,10690785,United States,171241.0,4819
7671,10691592,10691592,United States,183714.0,4819
7672,10692399,10692399,United States,172091.0,4819
7673,10693206,10693206,United States,153543.0,4819
7674,10694013,10694013,United States,113838.0,4819
7663,10685136,10685136,United States,197627.0,4819
7649,10673838,10673838,United States,168162.0,4819
7648,10673031,10673031,United States,150448.0,4819
7647,10672224,10672224,United States,108955.0,4819
7622,10652049,10652049,United States,71708.0,4819
7623,10652856,10652856,United States,69639.0,4819
7624,10653663,10653663,United States,53795.0,4819
7625,10654470,10654470,United States,43206.0,4819
7626,10655277,10655277,United States,71245.0,4819
7627,10656084,10656084,United States,85805.0,4819
7628,10656891,10656891,United States,89149.0,4819
7629,10657698,10657698,United States,99367.0,4819
7630,10658505,10658505,United States,104519.0,4819
7631,10659312,10659312,United States,80567.0,4819
7632,10660119,10660119,United States,61188.0,4819
7633,10660926,10660926,United States,102409.0,4819
7634,10661733,10661733,United States,110283.0,4819
7635,10662540,10662540,United States,126833.0,4819
7636,10663347,10663347,United States,127854.0,4819
7637,10664154,10664154,United States,133922.0,4819
7638,10664961,10664961,United States,120252.0,4819
7639,10665768,10665768,United States,96790.0,4819
7640,10666575,10666575,United States,93050.0,4819
7641,10667382,10667382,United States,135427.0,4819
7642,10668189,10668189,United States,143479.0,4819
7643,10668996,10668996,United States,151161.0,4819
7644,10669803,10669803,United States,146305.0,4819
7645,10670610,10670610,United States,139848.0,4819
7646,10671417,10671417,United States,110712.0,4819
7675,10694820,10694820,United States,118971.0,4819
7676,10695627,10695627,United States,162147.0,4819
7677,10696434,10696434,United States,163128.0,4819
7678,10697241,10697241,United States,167335.0,4819
7708,10721451,10721451,United States,63002.0,4819
7709,10722258,10722258,United States,47645.0,4819
7710,10723065,10723065,United States,72322.0,4819
7711,10723872,10723872,United States,80595.0,4819
7712,10724679,10724679,United States,76534.0,4819
7713,10725486,10725486,United States,87571.0,4819
7714,10726293,10726293,United States,80874.0,4819
7715,10727100,10727100,United States,36114.0,4819
7716,10728714,10728714,United States,84460.0,4819
7717,10729521,10729521,United States,101787.0,4819
7718,10730328,10730328,United States,84199.0,4819
7719,10731135,10731135,United States,103121.0,4819
7720,10731942,10731942,United States,88448.0,4819
7721,10732749,10732749,United States,34950.0,4819
7722,10733556,10733556,United States,25347.0,4819
7847,10835238,10835238,United States,8941.0,4819
7724,10735170,10735170,United States,74593.0,4819
7725,10735977,10735977,United States,78766.0,4819
7726,10736784,10736784,United States,88850.0,4819
7727,10737591,10737591,United States,89858.0,4819
7728,10738398,10738398,United States,35987.0,4819
7729,10739205,10739205,United States,31524.0,4819
7730,10740012,10740012,United States,116391.0,4819
7731,10740819,10740819,United States,82883.0,4819
7732,10741626,10741626,United States,93749.0,4819
7707,10720644,10720644,United States,92417.0,4819
7734,10743240,10743240,United States,122999.0,4819
7706,10719837,10719837,United States,96871.0,4819
7704,10718223,10718223,United States,89638.0,4819
7679,10698048,10698048,United States,158492.0,4819
7680,10698855,10698855,United States,122574.0,4819
7681,10699662,10699662,United States,94644.0,4819
7682,10700469,10700469,United States,98378.0,4819
7683,10701276,10701276,United States,132981.0,4819
7684,10702083,10702083,United States,132730.0,4819
7685,10702890,10702890,United States,138256.0,4819
7686,10703697,10703697,United States,132731.0,4819
7687,10704504,10704504,United States,96166.0,4819
7688,10705311,10705311,United States,75238.0,4819
7689,10706118,10706118,United States,107319.0,4819
7690,10706925,10706925,United States,115452.0,4819
7691,10707732,10707732,United States,116797.0,4819
7692,10708539,10708539,United States,124042.0,4819
7693,10709346,10709346,United States,120674.0,4819
7694,10710153,10710153,United States,81968.0,4819
7695,10710960,10710960,United States,66639.0,4819
7696,10711767,10711767,United States,91816.0,4819
7697,10712574,10712574,United States,101799.0,4819
7698,10713381,10713381,United States,118223.0,4819
7699,10714188,10714188,United States,113038.0,4819
7700,10714995,10714995,United States,108501.0,4819
7701,10715802,10715802,United States,70589.0,4819
7702,10716609,10716609,United States,58449.0,4819
7703,10717416,10717416,United States,77961.0,4819
7705,10719030,10719030,United States,96312.0,4819
7848,10836045,10836045,United States,57277.0,4819
7860,10846536,10846536,United States,10038.0,4819
7850,10837659,10837659,United States,46110.0,4819
7996,10958709,10958709,United States,33241.0,4819
7997,10959516,10959516,United States,32807.0,4819
